Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	organ	site	date	sorting.scheme	PIC	patient	noise_estimation	geneitcs	tissue	treatment	replicate	timepoint	ncells	organism	reads	umis
AB11091	SB414	A1_Tft	NA	NA	20201208	SMARTA+	Singlets	NA	NA	SMARTA_cells_into_B6_host	LN	not-infected	1		166	Mouse	16204.7228915663	723.813253012048
AB11092	SB414	B1_Tft	NA	NA	20201208	SMARTA+	Singlets	NA	NA	SMARTA_cells_into_B6_host	LN	not-infected	1		140	Mouse	14608.7214285714	726.671428571429
AB11093	SB414	C1_Tft	NA	NA	20201208	SMARTA+	Singlets	NA	NA	SMARTA_cells_into_B6_host	LN	not-infected	2		59	Mouse	14938.9491525424	652.762711864407
AB11094	SB414	D1_Tft	NA	NA	20201208	SMARTA+	Singlets	NA	NA	SMARTA_cells_into_B6_host	LN	not-infected	2		87	Mouse	13962.7356321839	711.137931034483
AB11101	SB414	C2_Tft	NA	NA	20201208	SMARTA+Tfh+	Singlets	NA	NA	SMARTA_cells_into_B6_host	LN	rVSV-infected	4		309	Mouse	24858.4433656958	1230.47896440129
AB11102	SB414	D2_Tft	NA	NA	20201208	SMARTA+Tfh+	Singlets	NA	NA	SMARTA_cells_into_B6_host	LN	rVSV-infected	5		275	Mouse	18085.8945454545	1326.12363636364
AB11103	SB414	E2_Tft	NA	NA	20201208	SMARTA+Tfh+	Singlets	NA	NA	SMARTA_cells_into_B6_host	LN	rVSV-infected	6		259	Mouse	21143.5984555985	1260.70656370656
AB11265	SB415	H7_Tht	lung	tumor	20201230	CD3+Myelo+	PIC	13	NA	NA	NA	NA	NA	NA	245	Human	35739.5469387755	2246.31428571429
AB11266	SB415	A8_Tht	lung	tumor	20201230	CD3+Myelo+	PIC	13	NA	NA	NA	NA	NA	NA	249	Human	30809.9718875502	2111.81124497992
AB11267	SB415	B8_Tht	lung	tumor	20201230	Myelo+	Singlets	13	NA	NA	NA	NA	NA	NA	140	Human	31348.25	2213.63571428571
AB11268	SB415	C8_Tht	lung	tumor	20201230	Myelo+	Singlets	13	NA	NA	NA	NA	NA	NA	186	Human	25984.2634408602	2331.60215053763
AB11269	SB415	D8_Tht	lung	tumor	20201230	CD3+	Singlets	13	NA	NA	NA	NA	NA	NA	250	Human	33820.816	1210.3
AB11270	SB415	E8_Tht	lung	tumor	20201230	CD3+	Singlets	13	NA	NA	NA	NA	NA	NA	239	Human	29515.2426778243	1212.9539748954
AB11271	SB415	F8_Tht	lung	tumor	20201230	CD3+Myelo+	PIC	13	NA	NA	NA	NA	NA	NA	151	Human	11533.9867549669	1510.5761589404
AB11272	SB415	G8_Tht	lung	normal	20201230	CD3+Myelo+	PIC	13	NA	NA	NA	NA	NA	NA	214	Human	27702.7523364486	1565.18691588785
AB11273	SB415	H8_Tht	lung	normal	20201230	Myelo+	Singlets	13	NA	NA	NA	NA	NA	NA	184	Human	31703.875	1536.53804347826
AB11290	SB415	A11_Tht	lung	tumor	20201230	CD3+	Singlets	13	NA	NA	NA	NA	NA	NA	178	Human	27839.2640449438	892.140449438202
AB12123	SB424	Biomek MARS 17032021	lung	tumor	20201211	CD3+Myelo+	PIC	15	NA	NA	NA	NA	NA	NA	256	Human	32371.28515625	2507.76171875
AB12124	SB424	Biomek MARS 17032021	lung	tumor	20201211	CD3+Myelo+	PIC	15	NA	NA	NA	NA	NA	NA	56	Human	34452.4107142857	2579.78571428571
AB12125	SB424	Biomek MARS 17032021	lung	tumor	20201211	Myelo+	Singlets	15	NA	NA	NA	NA	NA	NA	141	Human	28612.8652482269	2437.32624113475
AB12126	SB424	Biomek MARS 17032021	lung	tumor	20201211	Myelo+	Singlets	15	NA	NA	NA	NA	NA	NA	255	Human	23397.2039215686	2355.12549019608
AB12127	SB424	Biomek MARS 17032021	lung	tumor	20201211	CD3+	Singlets	15	NA	NA	NA	NA	NA	NA	236	Human	35678.8347457627	965.699152542373
AB12128	SB424	Biomek MARS 17032021	lung	tumor	20201211	CD3+	Singlets	15	NA	NA	NA	NA	NA	NA	241	Human	16375.8506224066	987.502074688797
AB12129	SB424	Biomek MARS 17032021	lung	normal	20201211	CD3+Myelo+	PIC	15	NA	NA	NA	NA	NA	NA	263	Human	25024.9087452471	2145.28517110266
AB12130	SB424	Biomek MARS 17032021	lung	normal	20201211	Myelo+	Singlets	15	NA	NA	NA	NA	NA	NA	179	Human	14783.1284916201	1636.84357541899
AB12131	SB424	Biomek MARS 17032021	lung	normal	20201211	CD3+	Singlets	15	NA	NA	NA	NA	NA	NA	176	Human	30414.4204545455	931.8125
AB12132	SB424	Biomek MARS 17032021	lung	normal	20201211	CD3+	Singlets	15	NA	NA	NA	NA	NA	NA	113	Human	28444.7876106195	994.29203539823
AB12281	SB425	E3_OT2_PD1_BTLA	NA	NA	20200424	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	none	1	d17	182	Mouse	22627.2912087912	1010.92307692308
AB12282	SB425	F3_OT2_PD1_BTLA	NA	NA	20200424	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	none	2	d17	232	Mouse	17823.8448275862	877.926724137931
AB12283	SB425	G3_OT2_PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	none	1	d17	198	Mouse	20841.7828282828	872.065656565657
AB12284	SB425	H3_OT2_PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	none	2	d17	185	Mouse	21385.1621621622	997.967567567568
AB12305	SB425	H6_OT2_PD1_BTLA	NA	NA	20200424	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	none	4	d17	228	Mouse	19593.2587719298	935.785087719298
AB12306	SB425	A7_OT2_PD1_BTLA	NA	NA	20200424	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	aPD-1	6	d17	188	Mouse	19458.25	1103.03723404255
AB12307	SB425	B7_OT2_PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	aPD-1	6	d17	222	Mouse	20556.9099099099	1094.9954954955
AB12308	SB425	C7_OT2_PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	aPD-1	9	d17	274	Mouse	19757.0437956204	1119.61678832117
AB12309	SB425	D7_OT2_PD1_BTLA	NA	NA	20200424	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	aPD-1	9	d17	289	Mouse	16706.7093425606	1114.65051903114
AB12345	SB425	PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	none	1	d17	163	Mouse	18900.3374233129	1070.84662576687
AB12346	SB425	PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	none	2	d17	158	Mouse	23651.1772151899	861.335443037975
AB12347	SB425	PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	none	4	d17	151	Mouse	21212.6357615894	855.58940397351
AB12348	SB425	PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	aPD-1	6	d17	202	Mouse	21135.1237623762	1069.09900990099
AB12349	SB425	PD1_BTLA	NA	NA	20200424	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	aPD-1	9	d17	196	Mouse	21231.7653061224	999.178571428571
