Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	Description
AB1889	SB101	CD3+_19 Hanjie	CD3+_19 Hanjie
AB1890	SB101	CD3+_20 Hanjie	CD3+_20 Hanjie
AB1891	SB101	CD45+_21 Hanjie	CD45+_21 Hanjie
AB1892	SB101	CD45+_22 Hanjie	CD45+_22 Hanjie
AB2093	SB111	CD45-NO3LAM 587	CD45-NO3LAM 587 plate_23
AB2094	SB111	CD3-NO3LAM 587 frozen	CD3-NO3LAM 587 frozen plate_25
AB2095	SB111	CD3-NO3LAM 587 frozen	CD3-NO3LAM 587 frozen plate_26
AB2096	SB111	CD45-NO3LAM 587 frozen	CD45-NO3LAM 587 frozen plate_28
AB2097	SB111	CD45-NO3LAM 587 frozen	CD45-NO3LAM 587 frozen plate_29
AB2105	SB111	CD3-NO3LAM 587	CD3-NO3LAM 587 plate_24
AB2504	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD3_68
AB2505	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD3_69
AB2506	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD3_70
AB2507	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD3_71
AB2508	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD45_72
AB2509	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD45_73
AB2510	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD45_74
AB2511	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD45_75
AB2512	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD3&CD45_80
AB2513	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD3&CD45_81
AB2514	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD3&CD45_82
AB2515	SB130	melanoma_CFMPB484_MEL004_fresh	CFMPB484_MEL004_fresh_CD3&CD45_83
AB2516	SB130	melanoma_CFMPB484_MEL004_frozen	CFMPB484_MEL004_frozen_CD3_85
AB2517	SB130	melanoma_CFMPB484_MEL004_frozen	CFMPB484_MEL004_frozen_CD45_86
AB2518	SB130	melanoma_CFMPB484_MEL004_frozen	CFMPB484_MEL004_frozen_CD3&CD45_88
AB2519	SB130	melanoma_CFMPB484_MEL004_frozen	CFMPB484_MEL004_frozen_CD3&CD45_89
AB2520	SB130	melanoma_CFMPB484_MEL004_frozen	CFMPB484_MEL004_frozen_CD3&CD45_92
AB2521	SB130	melanoma_CFMPB484_MEL004_frozen	CFMPB484_MEL004_frozen_CD3&CD45_93
AB2541	SB131	melanoma_CFMPB484_002 Metastasis2_frozen	CFMPB484_002 Metastasis2_frozen_CD3_114
AB2542	SB131	melanoma_CFMPB484_002 Metastasis2_frozen	CFMPB484_002 Metastasis2_frozen_CD3_115
AB2543	SB131	melanoma_CFMPB484_002 Metastasis1_frozen	CFMPB484_002 Metastasis1_frozen_CD3_120
AB2898	SB148	129_CFMPB484_MEL005 frozen-CD3 & CD45	plate_129
AB2899	SB148	131_CFMPB484_MEL006 frozen-CD3 & CD45	plate_131
AB2900	SB148	137_N03LAM 712 frozen-CD3	plate_137
AB2901	SB148	150_CFMPB484_MEL007 Meta 1-CD3 & CD45	plate_150
AB2902	SB148	154_CFMPB484_MEL007 Meta 2-CD3 & CD45	plate_154
AB2903	SB148	128_CFMPB484_MEL005 frozen-CD3 & CD45	plate_128
AB2904	SB148	130_CFMPB484_MEL006 frozen-CD3 & CD45	plate_130
AB2905	SB148	132_CFMPB484_MEL006 frozen-CD3 & CD45	plate_132
AB2906	SB148	135_N03LAM 712 frozen-CD3	plate_135
AB2907	SB148	136_N03LAM 712 frozen-CD3	plate_136
AB2908	SB148	140_N03LAM 712 frozen-CD45	plate_140
AB2909	SB148	139_N03LAM 712 frozen-CD45	plate_139
AB2910	SB148	141_N03LAM 712 frozen-CD45	plate_141
AB2911	SB148	142_N03LAM 712 frozen-CD45	plate_142
AB2912	SB148	143_N03LAM 712 frozen-CD3	plate_143
AB2913	SB148	144_N03LAM 712 frozen-CD45	plate_144
AB2914	SB148	147_N03LAM 712 frozen-CD3 & CD45	plate_147
AB2915	SB148	155_CFMPB484_MEL008-CD3	plate_155
AB2916	SB148	156_CFMPB484_MEL008-CD3	plate_156
AB2917	SB148	157_CFMPB484_MEL008-CD3	plate_157
AB2918	SB148	158_CFMPB484_MEL008-CD3	plate_158
AB2919	SB148	159_CFMPB484_MEL008-CD3	plate_159
AB2936	SB149	162_CFMPB484_MEL008-CD45	plate_162
AB2989	SB151	160_CFMPB484_MEL008-CD45	plate_160
AB2990	SB151	161_CFMPB484_MEL008-CD45	plate_161
AB3078	SB156	N03LAM_397_20min_CD3	N03LAM_397_20min_CD3_199
AB3079	SB156	N03LAM_397_20min_CD45	N03LAM_397_20min_CD45_200
AB3086	SB156	N03LAM_397_20min_CD3	N03LAM_397_20min_CD3_184
AB3087	SB156	N03LAM_397_20min_CD3	N03LAM_397_20min_CD3_185
AB3088	SB156	N03LAM_397_20min_CD3	N03LAM_397_20min_CD3_186
AB3089	SB156	N03LAM_397_20min_CD3	N03LAM_397_20min_CD3_187
AB3090	SB156	N03LAM_397_20min_CD45	N03LAM_397_20min_CD45_188
AB3091	SB156	N03LAM_397_20min_CD45	N03LAM_397_20min_CD45_189
AB3092	SB156	N03LAM_397_20min_CD45	N03LAM_397_20min_CD45_190
AB3093	SB156	N03LAM_397_20min_CD45	N03LAM_397_20min_CD45_191
AB3094	SB156	N03LAM_397_20min_CD3	N03LAM_397_20min_CD3_196
AB3095	SB156	N03LAM_397_20min_CD45	N03LAM_397_20min_CD45_197
AB3096	SB156	N03LAM_397_20min_CD3	N03LAM_397_20min_CD3_198
AB3274	SB165	N03LAM 619 frozen_CD3 & CD45	N03LAM 619 frozen_CD3 & CD45_123
AB3275	SB165	N03LAM 633 (biopsy) frozen_CD3 & CD45	N03LAM 633 (biopsy) frozen_CD3 & CD45_126
AB3276	SB165	N03LAM 633 (biopsy) frozen_CD3 & CD45	N03LAM 633 (biopsy) frozen_CD3 & CD45_127
AB3277	SB165	CFMPB484_MEL012_CD3 & CD45	CFMPB484_MEL012_CD3 & CD45_239
AB3278	SB165	CFMPB484_MEL012_CD3 & CD45	CFMPB484_MEL012_CD3 & CD45_240
AB3279	SB165	CFMPB484_MEL012_CD3 & CD45	CFMPB484_MEL012_CD3 & CD45_241
AB3280	SB165	CFMPB484_MEL012_CD3 & CD45	CFMPB484_MEL012_CD3 & CD45_242
AB3281	SB165	CFMPB484_MEL012_CD3 & CD45	CFMPB484_MEL012_CD3 & CD45_243
AB3282	SB165	CFMPB484_MEL012_CD3 & CD45	CFMPB484_MEL012_CD3 & CD45_244
AB3283	SB165	CFMPB484_MEL012_CD3 & CD45	CFMPB484_MEL012_CD3 & CD45_245
AB3284	SB165	CFMPB484_MEL012_live	CFMPB484_MEL012_live_246
AB3718	SB186	CFMPB484_MEL015_CD3 & CD45	CFMPB484_MEL015_CD3 & CD45_247
AB3719	SB186	CFMPB484_MEL015_CD3 & CD45	CFMPB484_MEL015_CD3 & CD45_248
AB3725	SB186	CFMPB484_MEL017_CD3 & CD45	CFMPB484_MEL017_CD3 & CD45_256
AB3726	SB186	CFMPB484_MEL017_CD3 & CD45 (+ partly live cells)	CFMPB484_MEL017_CD3 & CD45 (+ partly live cells)_257
AB3755	SB188	CFMPB484_MEL017_live	CFMPB484_MEL017_live_258
