	ct	umicount	annotation
Trac	1	14207	Activation I
Srgn	1	4155	Activation I
Thy1	1	3607	Activation I
Cd3d	1	3584	Activation I
Trbc1	1	3217	Activation I
Lat	1	2825	Activation I
Cd247	1	2609	Activation I
Cd4	1	2443	Activation I
Ncl	1	1919	Activation I
Slamf6	1	1635	Activation I
Ubl5	1	1384	Activation I
Nfatc1	1	1353	Activation I
Tbc1d4	1	1344	Activation I
Rilpl2	1	1150	Activation I
Sdf4	1	1148	Activation I
Ptms	1	1126	Activation I
Eif3l	1	856	Activation I
Hif1a	1	854	Activation I
Maf	1	850	Activation I
Bhlhe40	1	774	Activation I
Dusp5	1	742	Activation I
Ndufa1	1	722	Activation I
Arl4c	1	701	Activation I
AI662270	1	693	Activation I
Btla	1	634	Activation I
Eea1	1	544	Activation I
Timp2	1	542	Activation I
Usmg5	1	538	Activation I
Tnfrsf9	1	503	Activation I
Cd200	1	492	Activation I
Vmp1	1	464	Activation I
Hpf1	1	425	Activation I
Tigit	1	400	Activation I
Pdcd1	1	351	Activation I
Slc29a1	1	345	Activation I
Unc13d	1	282	Activation I
Cd83	1	280	Activation I
Lag3	1	279	Activation I
Angptl2	1	273	Activation I
Pou2af1	1	241	Activation I
Ccdc28b	1	237	Activation I
Cd8b1	1	229	Activation I
Egr3	1	192	Activation I
Litaf	1	180	Activation I
Tceanc2	1	174	Activation I
Lockd	1	143	Activation I
Scyl1	1	122	Activation I
Gcnt1	1	120	Activation I
Carhsp1	1	110	Activation I
Cish	1	106	Activation I
AW112010	2	1021	Tumor I
Id2	2	620	Tumor I
Tnfrsf4	2	531	Tumor I
Tnfrsf18	2	509	Tumor I
Gzmb	2	196	Tumor I
Plac8	2	185	Tumor I
Il2ra	2	161	Tumor I
Cxcr6	2	128	Tumor I
Ifitm3	2	111	Tumor I
Actb	3	86491	
Tmsb4x	3	35709	
Coro1a	3	9946	
Rac2	3	8667	
Ifi27l2a	3	7360	
Limd2	3	4763	
Sh3kbp1	3	2458	
Ctse	3	1314	
Ptpn1	3	1085	
Ltb	3	955	
Psmb10	3	760	
Capg	3	605	
Batf	3	486	
Elovl1	3	262	
Ldha	4	3920	Activation II
Ybx1	4	3892	Activation II
Pkm	4	2791	Activation II
Eif5a	4	2423	Activation II
Hnrnpab	4	2138	Activation II
Aldoa	4	1924	Activation II
Mif	4	1377	Activation II
Il2rb	4	958	Activation II
Nme1	4	949	Activation II
Pgk1	4	764	Activation II
Atp5g1	4	763	Activation II
Ybx3	4	743	Activation II
Mcm6	4	713	Activation II
Cdk4	4	695	Activation II
Ndufs6	4	642	Activation II
