	x
1	#9AC5B9
2	NA
3	NA
4	#455228
5	#9AC5B9
6	#455228
7	NA
8	NA
9	NA
10	#455228
11	#9AC5B9
12	#00CDCD
13	#00CDCD
14	#9AC5B9
15	#00CDCD
16	#00CDCD
17	#00CDCD
18	#767F67
19	#767F67
20	#767F67
21	#767F67
22	#455228
23	#00CDCD
24	#00CDCD
25	#00CDCD
26	#00CDCD
27	#00CDCD
28	#00CDCD
29	#00CDCD
30	#3437E7
31	#3437E7
32	#3437E7
33	#3437E7
34	#3437E7
35	#3437E7
36	#3437E7
37	#3437E7
38	#3437E7
39	#3437E7
40	#3437E7
41	#B0C399
42	#455228
43	NA
44	#455228
45	#B0C399
46	#B0C399
47	#9AC5B9
48	#9AC5B9
49	#9AC5B9
50	#9AC5B9
51	#9AC5B9
52	#9AC5B9
53	#B0C399
54	#9AC5B9
55	#9AC5B9
56	#9AC5B9
57	#9AC5B9
58	#9AC5B9
59	#9AC5B9
60	#9AC5B9
61	#9AC5B9
62	#9AC5B9
63	#00CDCD
64	#9AC5B9
65	#9AC5B9
66	#9AC5B9
67	#9AC5B9
68	#00738C
69	#9AC5B9
70	#9AC5B9
71	#9AC5B9
72	#9AC5B9
73	#9AC5B9
74	#9AC5B9
75	#9AC5B9
76	#9AC5B9
77	#9AC5B9
78	#9AC5B9
79	#9AC5B9
80	#9AC5B9
81	#9AC5B9
82	#9AC5B9
83	#9AC5B9
84	#9AC5B9
85	#9AC5B9
86	#9AC5B9
87	#9AC5B9
88	#9AC5B9
89	#9AC5B9
90	#9AC5B9
91	#9AC5B9
92	#9AC5B9
93	#9AC5B9
94	#455228
95	#9AC5B9
96	#00738C
97	#9AC5B9
98	#00738C
99	#00738C
100	#00738C
101	#00738C
102	#00738C
103	NA
104	#B0C399
105	#B0C399
106	#00738C
107	#00738C
108	#00738C
109	NA
110	NA
111	NA
112	NA
113	NA
114	NA
115	#B0C399
116	#9AC5B9
117	dodgerblue
118	#9AC5B9
119	#9AC5B9
120	#9AC5B9
121	#9AC5B9
122	#9AC5B9
123	#B0C399
124	#9AC5B9
125	#9AC5B9
126	#9AC5B9
127	#9AC5B9
128	#9AC5B9
129	#9AC5B9
130	#00738C
131	#00738C
132	#9AC5B9
133	#9AC5B9
134	#9AC5B9
135	NA
136	NA
137	NA
138	#9AC5B9
139	#9AC5B9
140	#9AC5B9
141	NA
142	#9AC5B9
143	#9AC5B9
144	#455228
145	#036C00
146	#036C00
147	#036C00
148	#036C00
149	#036C00
150	#036C00
151	#036C00
152	#036C00
153	#036C00
154	#3E4D7B
155	#3E4D7B
156	#3E4D7B
157	#3E4D7B
158	#3E4D7B
159	#767F67
160	#767F67
161	#3E4D7B
162	#3E4D7B
163	#3437E7
164	#3437E7
165	#B0C399
166	#B0C399
167	#455228
168	#B0C399
169	#B0C399
170	#036C00
171	#036C00
172	#036C00
173	#036C00
174	#036C00
175	#036C00
176	#036C00
177	#036C00
178	#036C00
179	#3E4D7B
180	#3E4D7B
181	#036C00
182	#036C00
183	#B0C399
184	#036C00
185	#036C00
186	#036C00
187	#E2E8DA
188	#B0C399
189	#B0C399
190	#E2E8DA
191	#B0C399
192	#B0C399
193	#E2E8DA
194	#E2E8DA
195	#E2E8DA
196	#E2E8DA
197	#B0C399
198	#B0C399
199	#B0C399
200	#E2E8DA
201	#E2E8DA
202	dodgerblue
203	#E2E8DA
204	#E2E8DA
205	#B0C399
206	#B0C399
207	#B0C399
208	#B0C399
209	#B0C399
210	#E2E8DA
211	#E2E8DA
212	#E2E8DA
213	dodgerblue
214	dodgerblue
215	#B0C399
216	#B0C399
217	#B0C399
218	#B0C399
219	#B0C399
220	#B0C399
221	#B0C399
222	#B0C399
223	dodgerblue
224	dodgerblue
225	dodgerblue
226	#B0C399
227	dodgerblue
228	#B0C399
229	#B0C399
230	#E2E8DA
231	#E2E8DA
232	#B0C399
233	#E2E8DA
234	dodgerblue
235	#E2E8DA
236	dodgerblue
237	dodgerblue
238	#B0C399
239	dodgerblue
240	#B0C399
241	dodgerblue
242	dodgerblue
243	dodgerblue
244	dodgerblue
245	NA
246	#B0C399
247	#B0C399
248	#B0C399
249	#B0C399
250	#B0C399
251	#B0C399
252	#B0C399
253	#B0C399
254	#B0C399
255	#B0C399
256	NA
257	#9AC5B9
258	#B0C399
259	#9AC5B9
260	#9AC5B9
261	#9AC5B9
262	#9AC5B9
