	mc
WMC1609505	19
WMC1609510	24
WMC1609511	19
WMC1609515	32
WMC1609517	26
WMC1609518	12
WMC1609520	12
WMC1609521	17
WMC1609522	26
WMC1609528	42
WMC1609530	26
WMC1609531	26
WMC1609532	17
WMC1609533	6
WMC1609536	7
WMC1609537	13
WMC1609543	13
WMC1609546	14
WMC1609548	8
WMC1609549	11
WMC1609550	18
WMC1609552	16
WMC1609556	26
WMC1609557	23
WMC1609558	27
WMC1609559	49
WMC1609560	18
WMC1609561	10
WMC1609563	13
WMC1609565	13
WMC1609567	14
WMC1609568	24
WMC1609569	6
WMC1609573	25
WMC1609574	13
WMC1609576	10
WMC1609577	8
WMC1609579	13
WMC1609580	14
WMC1609581	48
WMC1609583	13
WMC1609584	13
WMC1609585	7
WMC1609588	37
WMC1609589	26
WMC1609590	27
WMC1609593	9
WMC1609594	9
WMC1609595	18
WMC1609596	26
WMC1609599	18
WMC1609600	34
WMC1609601	26
WMC1609602	13
WMC1609603	10
WMC1609604	48
WMC1609605	41
WMC1609606	13
WMC1609610	7
WMC1609612	27
WMC1609614	43
WMC1609615	6
WMC1609617	40
WMC1609619	19
WMC1609621	35
WMC1609622	45
WMC1609623	10
WMC1609624	6
WMC1609626	12
WMC1609628	10
WMC1609629	26
WMC1609630	18
WMC1609631	10
WMC1609632	9
WMC1609634	10
WMC1609636	18
WMC1609637	32
WMC1609638	13
WMC1609640	5
WMC1609643	6
WMC1609645	6
WMC1609646	18
WMC1609647	35
WMC1609648	26
WMC1609649	20
WMC1609650	14
WMC1609652	13
WMC1609654	9
WMC1609656	6
WMC1609658	8
WMC1609659	23
WMC1609660	18
WMC1609662	26
WMC1609664	25
WMC1609666	13
WMC1609668	9
WMC1609669	18
WMC1609670	17
WMC1609671	9
WMC1609672	13
WMC1609673	8
WMC1609674	37
WMC1609676	26
WMC1609677	30
WMC1609678	5
WMC1609679	5
WMC1609680	48
WMC1609681	17
WMC1609683	14
WMC1609685	6
WMC1609687	16
WMC1609688	45
WMC1609689	3
WMC1609690	10
WMC1609695	16
WMC1609696	15
WMC1609698	34
WMC1609699	26
WMC1609702	19
WMC1609705	31
WMC1609707	26
WMC1609709	39
WMC1609710	25
WMC1609715	12
WMC1609716	5
WMC1609717	5
WMC1609718	8
WMC1609719	23
WMC1609720	26
WMC1609721	19
WMC1609722	43
WMC1609723	17
WMC1609727	16
WMC1609729	7
WMC1609730	6
WMC1609731	14
WMC1609732	45
WMC1609735	13
WMC1609738	25
WMC1609739	25
WMC1609740	49
WMC1609741	8
WMC1609742	31
WMC1609743	49
WMC1609744	7
WMC1609747	20
WMC1609748	37
WMC1609751	18
WMC1609752	17
WMC1609753	6
WMC1609754	37
WMC1609756	13
WMC1609757	29
WMC1609758	18
WMC1609760	26
WMC1609761	41
WMC1609764	19
WMC1609766	43
WMC1609767	7
WMC1609769	26
WMC1609770	37
WMC1609773	27
WMC1609774	34
WMC1609775	37
WMC1609777	24
WMC1609778	10
WMC1609779	13
WMC1609782	8
WMC1609783	12
WMC1609784	14
WMC1609785	26
WMC1609788	34
WMC1609789	3
WMC1609790	13
WMC1609792	13
WMC1609794	11
WMC1609797	19
WMC1609799	13
WMC1609801	18
WMC1609802	20
WMC1609804	13
WMC1609807	9
WMC1609810	26
WMC1609811	33
WMC1609813	7
WMC1609814	9
WMC1609816	26
WMC1609817	6
WMC1609818	8
WMC1609819	26
WMC1609820	6
WMC1609821	4
WMC1609822	20
WMC1609823	16
WMC1609825	6
WMC1609828	48
WMC1609830	17
WMC1609831	17
WMC1609832	6
WMC1609833	24
WMC1609834	33
WMC1609835	27
WMC1609836	14
WMC1609838	6
WMC1609839	9
WMC1609841	45
WMC1609842	24
WMC1609843	12
WMC1609844	26
WMC1609846	47
WMC1609847	49
WMC1609848	11
WMC1609849	43
WMC1609852	37
WMC1609855	6
WMC1609856	8
WMC1609857	25
WMC1609860	13
WMC1609861	18
WMC1609862	9
WMC1609863	4
WMC1609865	25
WMC1609866	17
WMC1609867	6
WMC1609869	14
WMC1609870	27
WMC1609872	13
WMC1609873	23
WMC1609876	26
WMC1609877	13
WMC1609879	6
WMC1609880	10
WMC1609882	17
WMC1609883	26
WMC1609889	91
WMC1609895	71
WMC1609917	91
WMC1609926	99
WMC1609928	100
WMC1609929	104
WMC1609933	92
WMC1609934	106
WMC1609936	104
WMC1609939	102
WMC1609943	82
WMC1609946	91
WMC1609951	106
WMC1609953	54
WMC1609960	95
WMC1609963	71
WMC1609967	84
WMC1609969	77
WMC1609976	104
WMC1609977	90
WMC1609981	94
WMC1609982	95
WMC1609984	91
WMC1610000	97
WMC1610008	51
WMC1610009	52
WMC1610015	50
WMC1610016	97
WMC1610017	79
WMC1610021	111
WMC1610025	104
WMC1610028	54
WMC1610031	51
WMC1610033	85
WMC1610038	104
WMC1610039	56
WMC1610041	51
WMC1610042	72
WMC1610044	91
WMC1610046	79
WMC1610048	52
WMC1610049	58
WMC1610050	70
WMC1610051	106
WMC1610053	54
WMC1610054	51
WMC1610055	71
WMC1610056	105
WMC1610064	51
WMC1610066	82
WMC1610067	80
WMC1610071	90
WMC1610072	101
WMC1610080	105
WMC1610083	87
WMC1610085	106
WMC1610087	85
WMC1610096	91
WMC1610103	96
WMC1610104	102
WMC1610117	106
WMC1610120	84
WMC1610139	50
WMC1610142	80
WMC1610143	51
WMC1610144	51
WMC1610146	97
WMC1610151	106
WMC1610156	80
WMC1610160	89
WMC1610165	84
WMC1610180	106
WMC1610187	105
WMC1610188	85
WMC1610191	86
WMC1610202	112
WMC1610206	111
WMC1610207	104
WMC1610214	51
WMC1610216	99
WMC1610231	106
WMC1610232	54
WMC1610233	81
WMC1610239	73
WMC1610240	63
WMC1610241	99
WMC1610248	81
WMC1610254	96
WMC1610257	68
WMC1610261	90
WMC1610264	74
WMC1610266	107
WMC1610273	106
WMC1610274	103
WMC1610275	75
WMC1610279	54
WMC1610283	51
WMC1610284	109
WMC1610285	99
WMC1610287	82
WMC1610293	61
WMC1610294	110
WMC1610296	102
WMC1610298	102
WMC1610300	75
WMC1610301	97
WMC1610302	51
WMC1610303	105
WMC1610304	98
WMC1610309	54
WMC1610312	83
WMC1610316	99
WMC1610323	79
WMC1610327	95
WMC1610328	71
WMC1610331	91
WMC1610332	101
WMC1610333	51
WMC1610336	51
WMC1610337	78
WMC1610339	98
WMC1610341	109
WMC1610342	79
WMC1610346	97
WMC1610347	73
WMC1610349	98
WMC1610356	51
WMC1610358	95
WMC1610359	106
WMC1610363	77
WMC1610365	63
WMC1610366	105
WMC1610367	106
WMC1610368	104
WMC1610375	104
WMC1610380	67
WMC1610381	91
WMC1610383	51
WMC1610385	107
WMC1610388	87
WMC1610389	74
WMC1610392	71
WMC1610393	107
WMC1610394	70
WMC1610397	79
WMC1610399	106
WMC1610403	88
WMC1610405	51
WMC1610408	106
WMC1610417	106
WMC1610420	55
WMC1610424	98
WMC1610437	81
WMC1610439	54
WMC1610441	81
WMC1610442	56
WMC1610447	104
WMC1610448	108
WMC1610452	79
WMC1610455	51
WMC1610456	91
WMC1610458	111
WMC1610460	109
WMC1610463	71
WMC1610464	79
WMC1610471	99
WMC1610473	83
WMC1610475	106
WMC1610478	79
WMC1610479	91
WMC1610482	84
WMC1610483	103
WMC1610488	70
WMC1610495	104
WMC1610497	85
WMC1610503	74
WMC1610505	109
WMC1610506	107
WMC1610509	95
WMC1610512	63
WMC1610514	106
WMC1610515	51
WMC1610516	107
WMC1610521	51
WMC1610525	102
WMC1610529	81
WMC1610531	105
WMC1610540	63
WMC1610546	51
WMC1610547	87
WMC1610551	104
WMC1610552	90
WMC1610555	105
WMC1610557	114
WMC1610559	97
WMC1610560	75
WMC1610564	54
WMC1610565	81
WMC1610572	56
WMC1610574	51
WMC1610576	104
WMC1610578	81
WMC1610579	99
WMC1610580	90
WMC1610581	97
WMC1610585	104
WMC1610586	90
WMC1610589	72
WMC1610592	96
WMC1610594	80
WMC1610595	103
WMC1610596	90
WMC1610598	103
WMC1610603	69
WMC1610604	67
WMC1610607	78
WMC1610608	91
WMC1610609	67
WMC1610614	51
WMC1610616	103
WMC1610617	104
WMC1610621	97
WMC1610623	54
WMC1610629	67
WMC1610633	90
WMC1610634	52
WMC1610635	104
WMC1610636	92
WMC1610638	63
WMC1610639	104
WMC1610640	102
WMC1610641	91
WMC1610642	108
WMC1610645	106
WMC1610647	51
WMC1610648	51
WMC1610649	52
WMC1610652	95
WMC1610654	108
WMC1610655	89
WMC1610656	106
WMC1610657	65
WMC1610659	12
WMC1610660	12
WMC1610661	19
WMC1610662	14
WMC1610663	37
WMC1610665	18
WMC1610666	18
WMC1610667	19
WMC1610668	18
WMC1610669	17
WMC1610670	35
WMC1610671	48
WMC1610676	8
WMC1610677	6
WMC1610678	6
WMC1610680	9
