mc1	mc2
1	1
1	3
1	32
1	33
1	36
2	2
2	3
3	1
3	2
3	3
3	32
3	33
4	4
4	5
4	7
4	16
5	4
5	5
5	6
5	7
5	9
5	34
6	5
6	6
6	7
6	9
6	10
7	4
7	5
7	6
7	7
7	9
7	10
8	8
8	9
8	11
8	12
8	16
8	17
8	18
9	5
9	6
9	7
9	8
9	9
9	12
9	34
10	6
10	7
10	10
10	12
10	43
11	8
11	11
11	12
11	19
11	20
11	41
12	8
12	9
12	10
12	11
12	12
12	41
13	13
13	14
13	15
13	17
13	18
13	20
14	13
14	14
14	16
14	18
14	19
15	13
15	15
15	16
15	17
15	19
15	20
16	4
16	8
16	14
16	15
16	16
16	17
17	8
17	13
17	15
17	16
17	17
17	18
17	20
18	8
18	13
18	14
18	17
18	18
18	19
19	11
19	14
19	15
19	18
19	19
19	20
20	11
20	13
20	15
20	17
20	19
20	20
21	21
21	27
21	30
21	47
22	22
22	23
22	31
22	32
22	37
22	47
23	22
23	23
23	28
23	34
23	38
24	24
24	25
24	27
24	30
24	42
24	43
24	48
24	49
25	24
25	25
25	26
25	27
25	43
25	49
26	25
26	26
26	27
26	39
27	21
27	24
27	25
27	26
27	27
28	23
28	28
28	29
28	30
28	39
28	47
29	28
29	29
29	30
29	35
29	40
30	21
30	24
30	28
30	29
30	30
30	40
30	47
31	22
31	31
31	32
31	35
31	37
32	1
32	3
32	22
32	31
32	32
32	37
33	1
33	3
33	33
33	36
34	5
34	9
34	23
34	34
34	35
34	36
35	29
35	31
35	34
35	35
35	36
36	1
36	33
36	34
36	35
36	36
36	38
37	22
37	31
37	32
37	37
37	39
37	40
38	23
38	36
38	38
38	39
38	40
38	42
39	26
39	28
39	37
39	38
39	39
39	40
40	29
40	30
40	37
40	38
40	39
40	40
41	11
41	12
41	41
41	42
41	43
42	24
42	38
42	41
42	42
42	43
43	10
43	24
43	25
43	41
43	42
43	43
44	44
45	45
46	46
47	21
47	22
47	28
47	30
47	47
47	49
48	24
48	48
48	49
49	24
49	25
49	47
49	48
49	49
50	50
50	53
50	55
50	98
50	113
51	51
51	55
51	65
51	66
51	97
51	102
52	52
52	53
52	55
52	56
52	62
52	63
53	50
53	52
53	53
53	55
53	56
54	54
54	56
54	63
54	97
54	98
54	99
55	50
55	51
55	52
55	53
55	55
56	52
56	53
56	54
56	56
56	63
56	98
57	57
57	58
57	59
57	60
57	61
57	62
58	57
58	58
58	59
58	60
58	61
58	64
59	57
59	58
59	59
59	60
59	64
60	57
60	58
60	59
60	60
60	61
60	62
60	64
61	57
61	58
61	60
61	61
61	62
61	63
62	52
62	57
62	60
62	61
62	62
63	52
63	54
63	56
63	61
63	63
64	58
64	59
64	60
64	64
64	65
65	51
65	64
65	65
65	66
66	51
66	65
66	66
67	67
67	68
67	69
67	101
67	105
67	114
68	67
68	68
68	69
68	71
68	74
68	78
69	67
69	68
69	69
69	70
69	71
69	111
69	114
70	69
70	70
70	89
70	94
70	106
71	68
71	69
71	71
71	90
71	91
71	113
72	72
72	76
72	80
72	87
72	89
72	112
73	73
73	74
73	76
73	82
74	68
74	73
74	74
74	75
74	87
74	88
75	74
75	75
75	76
75	77
75	84
75	85
76	72
76	73
76	75
76	76
76	77
76	85
77	75
77	76
77	77
77	85
77	88
78	68
78	78
78	79
78	93
78	102
79	78
79	79
79	83
79	85
79	92
79	94
80	72
80	80
80	84
80	87
81	81
81	82
81	83
81	91
81	92
81	93
82	73
82	81
82	82
82	86
82	87
82	88
83	79
83	81
83	83
83	90
83	93
83	112
84	75
84	80
84	84
84	85
84	86
84	87
85	75
85	76
85	77
85	79
85	84
85	85
86	82
86	84
86	86
86	87
86	89
86	96
87	72
87	74
87	80
87	82
87	84
87	86
87	87
88	74
88	77
88	82
88	88
88	103
89	70
89	72
89	86
89	89
89	90
89	111
89	112
90	71
90	83
90	89
90	90
90	91
90	106
91	71
91	81
91	90
91	91
91	105
92	79
92	81
92	92
92	93
93	78
93	81
93	83
93	92
93	93
93	106
94	70
94	79
94	94
94	95
94	103
94	104
95	94
95	95
95	96
95	100
95	102
96	86
96	95
96	96
96	99
96	100
96	102
97	51
97	54
97	97
97	98
97	99
97	102
98	50
98	54
98	56
98	97
98	98
98	99
98	101
99	54
99	96
99	97
99	98
99	99
100	95
100	96
100	100
100	101
100	103
101	67
101	98
101	100
101	101
101	103
101	105
102	51
102	78
102	95
102	96
102	97
102	102
102	103
103	88
103	94
103	100
103	101
103	102
103	103
104	94
104	104
104	105
104	106
104	107
105	67
105	91
105	101
105	104
105	105
106	70
106	90
106	93
106	104
106	106
106	107
107	104
107	106
107	107
107	108
107	109
108	107
108	108
108	109
108	110
108	111
108	112
109	107
109	108
109	109
109	110
109	111
109	112
110	108
110	109
110	110
110	111
110	114
111	69
111	89
111	108
111	109
111	110
111	111
111	112
112	72
112	83
112	89
112	108
112	109
112	111
112	112
113	50
113	71
113	113
113	114
114	67
114	69
114	110
114	113
114	114
