	x	y
1	251	164
2	270	27
3	272	104
4	68	391
5	128	332
6	170	365
7	133	396
8	134	473
9	175	397
10	234	437
11	199	540
12	201	475
13	79	612
14	27	552
15	62	574
16	53	478
17	107	538
18	70	521
19	125	579
20	156	606
21	509	333
22	366	226
23	293	285
24	394	423
25	410	461
26	436	379
27	482	426
28	405	283
29	346	283
30	423	337
31	320	191
32	343	146
33	198	163
34	204	305
35	263	254
36	224	246
37	400	198
38	308	327
39	383	310
40	391	264
41	272	500
42	318	417
43	326	469
44	507	147
45	107	227
46	387	587
47	462	288
48	464	477
49	465	397
50	506	636
51	698	636
52	565	505
53	509	558
54	628	602
55	586	589
56	563	563
57	682	387
58	741	421
59	780	420
60	706	437
61	660	448
62	611	430
63	628	521
64	770	495
65	755	576
66	785	624
67	514	772
68	580	832
69	478	840
70	527	884
71	506	806
72	611	1018
73	701	989
74	690	894
75	770	956
76	729	1009
77	788	906
78	636	810
79	639	893
80	671	1044
81	590	922
82	687	918
83	556	964
84	721	963
85	741	925
86	662	874
87	662	963
88	730	839
89	564	942
90	501	914
91	503	855
92	608	974
93	568	886
94	584	821
95	671	770
96	706	772
97	651	651
98	579	650
99	671	679
100	632	731
101	561	723
102	686	723
103	642	774
104	456	823
105	479	759
106	458	889
107	402	911
108	437	986
109	417	968
110	387	887
111	469	941
112	517	1003
113	456	716
114	415	785
