	x	y
WMC1609505	118.644155656357	573.85435781197
WMC1609510	385.525949371101	444.936450931258
WMC1609511	86.476828159931	558.254355056864
WMC1609515	356.244473586167	166.132686476116
WMC1609517	422.798012728047	364.965232915166
WMC1609518	173.609302651007	455.640230697712
WMC1609520	196.460184179698	461.290386580667
WMC1609521	111.718365701948	578.798806289556
WMC1609522	444.332601638344	392.374588647615
WMC1609528	336.437456577298	410.886022386828
WMC1609530	434.277321953455	371.176914618821
WMC1609531	448.91526460799	386.361647864203
WMC1609532	86.8841172833752	544.196785911064
WMC1609533	151.494046381086	396.699931428028
WMC1609536	164.306367763825	372.603161844434
WMC1609537	81.6331381716186	557.309100008636
WMC1609543	72.9015847791347	580.703597560861
WMC1609546	46.6442747282988	534.27571772171
WMC1609548	117.509858852775	478.497013980378
WMC1609549	185.175633038864	519.983609284035
WMC1609550	88.717445536534	554.35466785968
WMC1609552	74.9565382765587	514.863791809015
WMC1609556	429.001880740371	378.972158881769
WMC1609557	298.330691926289	291.03511312356
WMC1609558	477.81490840902	387.033055294198
WMC1609559	462.777126826169	406.757018005387
WMC1609560	79.2742555174859	543.747396312921
WMC1609561	201.147185555467	396.119098141541
WMC1609563	99.5620301413495	577.55372925793
WMC1609565	83.9907829265242	582.952370909638
WMC1609567	76.4416702684942	555.534492291389
WMC1609568	435.483968691654	450.304139905002
WMC1609569	156.71846699945	371.288051726051
WMC1609573	437.071716500963	419.409744979036
WMC1609574	62.6396302127195	591.034767457902
WMC1609576	237.327496214942	443.725090953713
WMC1609577	123.066859141082	515.654901706965
WMC1609579	63.5296617319935	586.088650043524
WMC1609580	65.7174087380322	557.262932762868
WMC1609581	463.018550043039	475.289964690988
WMC1609583	76.5298762378601	578.759615417444
WMC1609584	83.8648390778471	556.692939789116
WMC1609585	162.423962597687	362.777323127119
WMC1609588	365.196250579584	225.5741802221
WMC1609589	439.156303435936	379.331963808772
WMC1609590	428.186431139674	419.966645548123
WMC1609593	156.331390001538	397.837124696278
WMC1609594	153.100847573358	379.31658109651
WMC1609595	89.3844722141277	521.410846390194
WMC1609596	441.960906493166	389.203247094036
WMC1609599	72.0903958697801	548.737589524291
WMC1609600	152.276081833248	317.547643439589
WMC1609601	436.45257695054	402.543571192907
WMC1609602	64.7473557275836	587.062232134953
WMC1609603	214.369342230038	406.021973608793
WMC1609604	462.703555533778	425.608510365363
WMC1609605	263.738267120554	477.905113125416
WMC1609606	75.2019208896314	567.625908505378
WMC1609610	165.675682351344	375.281023115248
WMC1609612	443.727007425216	416.958580292351
WMC1609614	327.0340792766	454.923572525153
WMC1609615	178.723305309835	368.511639606063
WMC1609617	385.437226657005	291.087742647889
WMC1609619	136.284466296407	560.678277839347
WMC1609621	276.257304037385	248.334156300888
WMC1609622	116.949135418501	246.736676371491
WMC1609623	230.991776158083	430.636119217142
WMC1609624	152.402096182377	351.332171980079
WMC1609626	178.99111143879	476.934547876742
WMC1609628	204.298712292081	414.429558637417
WMC1609629	436.2343944489	406.598425623706
WMC1609630	101.0685714047	534.340259504829
WMC1609631	188.491132477877	403.196992672573
WMC1609632	163.149297187388	391.091280811027
WMC1609634	230.845291822421	428.704497248039
WMC1609636	81.5570803853441	515.571615357045
WMC1609637	306.133005750833	126.275354922452
WMC1609638	95.1103065035373	575.538912794998
WMC1609640	150.611884124996	356.003583066324
WMC1609643	156.226212593707	352.403034902714
WMC1609645	152.41889525396	369.721386714489
WMC1609646	75.5291928606265	554.004811956555
WMC1609647	258.436781195171	267.506113411297
WMC1609648	430.599281815842	391.499932861556
WMC1609649	150.162757129815	586.012685701422
WMC1609650	38.7978685589512	555.602179899277
WMC1609652	55.6092335973755	568.361457561165
WMC1609654	161.20347183395	389.311851131172
WMC1609656	152.655069095456	359.519914672053
WMC1609658	89.1643752872593	502.727503329744
WMC1609659	310.82451428205	277.426703668998
WMC1609660	98.0854602630528	509.496806672897
WMC1609662	450.969640137027	416.87866119155
WMC1609664	420.892121982644	451.880832394763
WMC1609666	98.1131820331961	563.176267101401
WMC1609668	172.073147082637	398.343029403463
WMC1609669	100.713319716675	532.091967902988
WMC1609670	80.6461012888336	534.081284728035
WMC1609671	152.844269711449	405.314730711509
WMC1609672	92.7947370096683	564.57468303219
WMC1609673	157.233344656809	505.745396730637
WMC1609674	372.472407291454	220.663357030803
WMC1609676	436.793767881138	386.438210741345
WMC1609677	425.465227503805	335.338870844613
WMC1609678	142.612422297624	366.871793020729
WMC1609679	156.794861807759	339.886749875073
