	mc
WMC2370209	4
WMC2370210	8
WMC2370212	31
WMC2370214	19
WMC2370217	31
WMC2370218	2
WMC2370222	16
WMC2370224	3
WMC2370225	1
WMC2370226	8
WMC2370231	31
WMC2370232	4
WMC2370238	3
WMC2370240	31
WMC2370241	9
WMC2370242	20
WMC2370247	18
WMC2370252	31
WMC2370255	31
WMC2370256	16
WMC2370261	21
WMC2370262	2
WMC2370264	31
WMC2370269	15
WMC2370270	23
WMC2370272	3
WMC2370273	32
WMC2370277	34
WMC2370278	15
WMC2370282	21
WMC2370283	21
WMC2370291	22
WMC2370293	34
WMC2370294	23
WMC2370296	31
WMC2370297	32
WMC2370298	23
WMC2370300	7
WMC2370301	31
WMC2370308	34
WMC2370320	31
WMC2370335	15
WMC2370336	31
WMC2370337	15
WMC2370338	23
WMC2370345	3
WMC2370352	31
WMC2370353	31
WMC2370361	17
WMC2370364	31
WMC2370367	3
WMC2370368	34
WMC2370375	31
WMC2370377	31
WMC2370384	31
WMC2370386	2
WMC2370391	6
WMC2370394	35
WMC2370400	31
WMC2370402	3
WMC2370407	34
WMC2370416	31
WMC2370419	34
WMC2370422	3
WMC2370424	31
WMC2370429	31
WMC2370431	31
WMC2370444	3
WMC2370446	31
WMC2370449	23
WMC2370452	15
WMC2370464	31
WMC2370468	10
WMC2370471	2
WMC2370473	23
WMC2370484	3
WMC2370487	13
WMC2370489	31
WMC2370493	20
WMC2370498	2
WMC2370499	7
WMC2370507	20
WMC2370510	15
WMC2370513	31
WMC2370527	31
WMC2370528	35
WMC2370533	31
WMC2370534	31
WMC2370537	34
WMC2370543	31
WMC2370546	21
WMC2370547	2
WMC2370553	2
WMC2370561	31
WMC2370564	31
WMC2370569	15
WMC2370574	31
WMC2370577	8
WMC2370578	31
WMC2370583	31
WMC2370584	31
WMC2370586	31
WMC2370588	16
WMC2370589	32
WMC2370590	32
WMC2370592	31
WMC2370598	2
WMC2370603	10
WMC2370610	32
WMC2370619	5
WMC2370625	20
WMC2370629	35
WMC2370632	18
WMC2370633	20
WMC2370676	31
WMC2370681	4
WMC2370841	3
WMC2370864	27
WMC2370886	15
WMC2370919	3
WMC2370927	15
WMC2370944	33
WMC2370967	17
WMC2370977	34
WMC2371001	32
WMC2371017	31
WMC2371029	31
WMC2371047	11
WMC2371052	31
WMC2371054	32
WMC2371063	12
WMC2371065	31
WMC2371097	23
WMC2371099	31
WMC2371163	35
WMC2371287	31
WMC2371357	2
WMC2371364	34
WMC2371377	35
WMC2371385	19
WMC2371395	32
WMC2371416	32
WMC2371420	15
WMC2371425	12
WMC2371431	31
WMC2371433	9
WMC2371439	33
WMC2371440	8
WMC2371444	34
WMC2371448	9
WMC2371449	31
WMC2371451	7
WMC2371452	31
WMC2371455	31
WMC2371505	21
WMC2371521	31
WMC2371542	5
WMC2371544	32
WMC2371546	16
WMC2371588	23
WMC2371606	31
WMC2371629	31
WMC2371658	23
WMC2371713	15
WMC2371725	23
WMC2371728	31
