	x
1	#455228
2	#455228
3	#455228
4	#455228
5	#455228
6	#00CDCD
7	#9AC5B9
8	#00CDCD
9	#9AC5B9
10	#9AC5B9
11	#00CDCD
12	#9AC5B9
13	#00CDCD
14	#00CDCD
15	#9AC5B9
16	#9AC5B9
17	#9AC5B9
18	#00CDCD
19	white
20	#9AC5B9
21	#9AC5B9
22	#9AC5B9
23	#9AC5B9
24	#00CDCD
25	#9AC5B9
26	#3437E7
27	#B0C399
28	#9AC5B9
29	#00738C
30	#00CDCD
31	#9AC5B9
32	#9AC5B9
33	#00CDCD
34	#9AC5B9
35	#9AC5B9
36	#9AC5B9
37	#9AC5B9
38	#9AC5B9
39	#9AC5B9
40	#9AC5B9
41	#00CDCD
42	#00CDCD
43	#00CDCD
44	#00738C
45	#00CDCD
46	#00CDCD
47	#00CDCD
48	#00CDCD
49	#00CDCD
50	#00CDCD
51	#00CDCD
52	#00CDCD
53	#00CDCD
54	#00CDCD
55	#9AC5B9
56	#00CDCD
57	#00CDCD
58	#00CDCD
59	#00CDCD
60	#00CDCD
61	#00CDCD
62	#00CDCD
63	#00CDCD
64	#00CDCD
65	#00CDCD
66	#00CDCD
67	#00CDCD
68	#00CDCD
69	#00CDCD
70	#00CDCD
71	#00CDCD
72	#00CDCD
73	#00CDCD
74	#00CDCD
75	#00CDCD
76	#00CDCD
77	#00CDCD
78	#00CDCD
79	#00CDCD
80	#00CDCD
81	#00CDCD
82	#00CDCD
83	#00CDCD
84	#00CDCD
85	#00CDCD
86	#00CDCD
87	#00CDCD
88	#00CDCD
89	#00CDCD
90	#00CDCD
91	#00CDCD
92	#00CDCD
93	#9AC5B9
94	#9AC5B9
95	#9AC5B9
96	#00CDCD
97	#00CDCD
98	#00CDCD
99	#00CDCD
100	#767F67
101	#00CDCD
102	#00CDCD
103	#9AC5B9
104	#9AC5B9
105	#9AC5B9
106	#9AC5B9
107	#9AC5B9
108	#9AC5B9
109	#9AC5B9
110	#9AC5B9
111	#00CDCD
112	#9AC5B9
113	#9AC5B9
114	#9AC5B9
115	#9AC5B9
116	#9AC5B9
117	#00CDCD
118	#00CDCD
119	#00CDCD
120	#9AC5B9
121	#9AC5B9
122	white
123	#B0C399
124	#9AC5B9
125	#9AC5B9
126	#9AC5B9
127	#9AC5B9
128	#9AC5B9
129	#9AC5B9
130	#9AC5B9
131	#9AC5B9
132	#9AC5B9
133	#9AC5B9
134	#9AC5B9
135	#9AC5B9
136	#9AC5B9
137	#9AC5B9
138	#00738C
139	#00738C
140	#00738C
141	white
142	#00738C
143	white
144	white
145	#B0C399
146	white
147	#00738C
148	white
149	#00738C
150	#00738C
151	#00738C
152	#00738C
153	#00738C
154	#00738C
155	#00738C
156	#9AC5B9
157	#00738C
158	#9AC5B9
159	white
160	#00738C
161	#00738C
162	#9AC5B9
163	#00738C
164	#00738C
165	#00738C
166	#00738C
167	white
168	white
169	white
170	white
171	white
172	white
173	white
174	#9AC5B9
175	#9AC5B9
176	#00738C
177	#00738C
178	#00738C
179	#00738C
180	white
181	white
182	white
183	white
184	white
185	white
186	white
187	white
188	white
189	white
190	white
191	white
192	white
193	white
194	white
195	white
196	white
197	white
198	white
199	white
200	white
201	white
202	white
203	white
204	white
205	white
206	white
207	white
208	white
209	white
210	white
211	white
212	white
213	white
214	white
215	white
216	white
217	white
218	white
219	white
220	white
221	white
222	white
223	white
224	white
225	white
226	white
227	white
228	white
229	white
230	white
231	white
232	white
233	white
234	white
235	white
236	white
237	white
238	white
239	white
240	white
241	white
242	white
243	white
244	white
245	white
246	white
247	white
248	white
249	white
250	white
251	white
252	white
253	white
254	white
255	white
256	white
257	white
258	white
259	white
260	white
261	white
262	white
263	white
264	white
265	white
266	white
267	white
268	white
269	white
270	white
271	white
272	white
273	white
274	white
275	white
276	white
277	white
278	white
279	white
280	white
281	white
282	white
283	white
284	white
285	white
286	white
287	white
288	white
289	white
290	#B0C399
291	#036C00
292	#B0C399
293	#B0C399
294	#B0C399
295	dodgerblue
296	dodgerblue
297	white
298	#B0C399
299	#455228
300	#B0C399
301	#455228
302	#036C00
303	#036C00
304	#036C00
305	dodgerblue
306	#036C00
307	#036C00
308	#B0C399
309	dodgerblue
310	dodgerblue
311	dodgerblue
312	white
313	#767F67
314	#B0C399
315	#B0C399
316	#B0C399
317	dodgerblue
318	#B0C399
319	#B0C399
320	#036C00
321	#036C00
322	#3E4D7B
323	#3E4D7B
324	#3E4D7B
325	#3E4D7B
326	#B0C399
327	#B0C399
328	#B0C399
329	#B0C399
330	#B0C399
331	#B0C399
332	#B0C399
333	#B0C399
334	#E2E8DA
335	#B0C399
336	#E2E8DA
337	#E2E8DA
338	#B0C399
339	#B0C399
340	#E2E8DA
341	#B0C399
342	#E2E8DA
343	#E2E8DA
344	#E2E8DA
345	#E2E8DA
346	#B0C399
347	#B0C399
348	dodgerblue
349	white
350	#B0C399
351	#E2E8DA
352	#B0C399
353	white
354	white
355	#B0C399
356	#B0C399
357	#B0C399
358	#B0C399
359	#B0C399
360	#B0C399
361	#B0C399
362	#B0C399
363	#B0C399
364	#B0C399
365	#9AC5B9
366	#B0C399
367	#B0C399
368	#B0C399
369	#B0C399
370	dodgerblue
371	#9AC5B9
372	#9AC5B9
373	#B0C399
374	#B0C399
375	#B0C399
