	x
1	#F98B00
2	#F98B00
3	#F98B00
4	#F98B00
5	cyan
6	cyan
7	cyan
8	cyan
9	#327104
10	cyan
11	gold
12	gold
13	#E675E4
14	#E675E4
15	#E675E4
16	#E675E4
17	#E675E4
18	#E675E4
19	#E675E4
20	#E675E4
21	#E675E4
22	#E675E4
23	#E675E4
24	#E675E4
25	#E675E4
26	#E675E4
27	chocolate4
28	chocolate4
29	chocolate4
30	chocolate4
31	chocolate4
32	chocolate4
33	chocolate4
34	indianred3
35	indianred3
36	indianred3
37	peru
38	chocolate4
39	#E9257E
40	#E9257E
41	#E9257E
42	#E9257E
43	#E9257E
44	#E9257E
45	#E9257E
46	#E9257E
47	#E9257E
48	#E9257E
49	#E9257E
50	#E9257E
51	#E675E4
52	peru
53	peru
54	peru
55	peru
56	indianred3
57	peru
58	peru
59	peru
60	peru
61	indianred3
62	peru
63	peru
64	peru
65	peru
66	indianred3
67	peru
68	indianred3
69	indianred3
70	indianred3
71	dodgerblue
72	dodgerblue
73	powderblue
74	powderblue
75	white
76	powderblue
77	powderblue
78	powderblue
79	powderblue
80	powderblue
81	darkseagreen2
82	dodgerblue
83	powderblue
84	powderblue
85	powderblue
86	royalblue3
87	powderblue
88	dodgerblue
89	dodgerblue
90	powderblue
91	powderblue
92	powderblue
93	powderblue
94	powderblue
95	darkseagreen2
96	darkseagreen2
97	darkseagreen2
98	powderblue
99	powderblue
100	powderblue
101	powderblue
102	darkseagreen2
103	powderblue
104	powderblue
105	darkseagreen2
106	powderblue
107	powderblue
108	powderblue
109	powderblue
110	powderblue
111	powderblue
112	powderblue
113	darkseagreen2
114	darkseagreen2
115	darkseagreen2
116	darkseagreen2
117	powderblue
118	powderblue
119	powderblue
120	powderblue
121	powderblue
122	powderblue
123	powderblue
124	powderblue
125	powderblue
126	white
127	white
128	darkseagreen2
129	powderblue
130	powderblue
131	darkseagreen2
132	darkseagreen2
133	powderblue
134	powderblue
135	powderblue
136	powderblue
137	#327104
138	#327104
139	#327104
140	darkseagreen2
141	darkseagreen2
142	darkseagreen2
143	darkseagreen2
144	darkseagreen2
145	darkseagreen2
146	darkseagreen2
147	darkseagreen2
148	darkseagreen2
149	darkseagreen2
150	darkseagreen2
151	darkseagreen2
152	darkseagreen2
153	powderblue
154	darkseagreen2
155	#327104
156	#327104
157	#327104
158	seagreen4
159	seagreen4
160	seagreen4
161	seagreen4
162	royalblue3
163	royalblue3
164	seagreen4
165	seagreen4
166	seagreen4
167	royalblue3
168	royalblue3
169	royalblue3
170	royalblue3
171	dodgerblue
172	royalblue3
173	royalblue3
174	seagreen4
175	dodgerblue
176	dodgerblue
177	powderblue
178	dodgerblue
179	dodgerblue
180	dodgerblue
181	dodgerblue
182	dodgerblue
183	dodgerblue
184	dodgerblue
185	dodgerblue
186	powderblue
187	royalblue3
188	dodgerblue
189	dodgerblue
190	dodgerblue
191	dodgerblue
192	dodgerblue
193	dodgerblue
194	royalblue3
195	dodgerblue
196	dodgerblue
197	dodgerblue
198	dodgerblue
199	dodgerblue
200	royalblue3
201	dodgerblue
202	dodgerblue
203	powderblue
204	dodgerblue
205	powderblue
206	dodgerblue
207	dodgerblue
208	dodgerblue
209	dodgerblue
210	royalblue3
211	dodgerblue
212	dodgerblue
213	dodgerblue
214	dodgerblue
215	dodgerblue
216	dodgerblue
217	dodgerblue
218	dodgerblue
