	mc
WMC2373281	178
WMC2373283	162
WMC2373284	198
WMC2373286	169
WMC2373287	216
WMC2373290	174
WMC2373291	216
WMC2373292	195
WMC2373293	218
WMC2373294	213
WMC2373295	78
WMC2373298	184
WMC2373300	159
WMC2373301	185
WMC2373302	158
WMC2373303	172
WMC2373304	184
WMC2373305	172
WMC2373306	206
WMC2373307	81
WMC2373308	169
WMC2373309	164
WMC2373310	8
WMC2373311	164
WMC2373312	170
WMC2373315	164
WMC2373316	215
WMC2373317	133
WMC2373319	208
WMC2373320	175
WMC2373321	218
WMC2373322	79
WMC2373323	189
WMC2373324	215
WMC2373325	195
WMC2373327	191
WMC2373328	99
WMC2373329	189
WMC2373330	173
WMC2373331	181
WMC2373332	181
WMC2373333	88
WMC2373334	183
WMC2373335	71
WMC2373336	94
WMC2373337	169
WMC2373340	165
WMC2373341	168
WMC2373342	160
WMC2373343	170
WMC2373344	205
WMC2373345	164
WMC2373347	93
WMC2373348	74
WMC2373350	181
WMC2373351	83
WMC2373352	174
WMC2373354	189
WMC2373355	200
WMC2373356	216
WMC2373357	158
WMC2373358	186
WMC2373360	197
WMC2373362	159
WMC2373363	134
WMC2373364	162
WMC2373365	169
WMC2373366	164
WMC2373367	179
WMC2373369	165
WMC2373370	170
WMC2373371	5
WMC2373372	170
WMC2373373	175
WMC2373374	175
WMC2373375	188
WMC2373376	183
WMC2373378	173
WMC2373380	190
WMC2373382	199
WMC2373383	162
WMC2373385	162
WMC2373386	181
WMC2373387	170
WMC2373388	158
WMC2373389	92
WMC2373390	135
WMC2373391	191
WMC2373392	183
WMC2373393	170
WMC2373395	199
WMC2373396	85
WMC2373398	183
WMC2373399	186
WMC2373400	199
WMC2373401	184
WMC2373402	172
WMC2373403	105
WMC2373404	167
WMC2373405	192
WMC2373407	189
WMC2373409	218
WMC2373410	184
WMC2373411	141
WMC2373412	162
WMC2373413	111
WMC2373414	194
WMC2373415	93
WMC2373416	159
WMC2373418	162
WMC2373419	181
WMC2373420	169
WMC2373422	165
WMC2373423	189
WMC2373424	100
WMC2373425	198
WMC2373426	194
WMC2373429	197
WMC2373430	163
WMC2373431	192
WMC2373432	170
WMC2373434	7
WMC2373436	170
WMC2373437	153
WMC2373439	5
WMC2373441	194
WMC2373444	191
WMC2373445	163
WMC2373446	162
WMC2373447	159
WMC2373448	159
WMC2373450	164
WMC2373451	181
WMC2373452	183
WMC2373453	183
WMC2373454	163
WMC2373455	159
WMC2373456	199
WMC2373457	202
WMC2373458	191
WMC2373459	164
WMC2373460	74
WMC2373461	199
WMC2373462	163
WMC2373463	169
WMC2373464	163
WMC2373466	218
WMC2373467	158
WMC2373468	8
WMC2373470	203
WMC2373471	162
WMC2373472	6
WMC2373473	206
WMC2373474	214
WMC2373475	163
WMC2373477	193
WMC2373478	211
WMC2373479	204
WMC2373482	86
WMC2373483	8
WMC2373484	187
WMC2373485	186
WMC2373486	215
WMC2373488	195
WMC2373489	159
WMC2373491	175
WMC2373492	168
WMC2373494	176
WMC2373496	83
WMC2373498	169
WMC2373500	8
WMC2373501	167
WMC2373502	145
WMC2373503	194
WMC2373504	183
WMC2373507	195
WMC2373508	213
WMC2373509	205
WMC2373510	121
WMC2373511	203
WMC2373514	159
WMC2373517	188
WMC2373519	169
WMC2373520	175
WMC2373521	169
WMC2373523	167
WMC2373524	185
WMC2373525	175
WMC2373526	165
WMC2373528	202
WMC2373529	197
WMC2373531	81
WMC2373532	187
WMC2373534	175
WMC2373537	216
WMC2373539	183
WMC2373541	87
WMC2373542	193
WMC2373543	124
WMC2373544	78
WMC2373545	81
WMC2373549	185
WMC2373550	195
WMC2373551	33
WMC2373552	192
WMC2373553	73
WMC2373554	175
WMC2373559	179
WMC2373561	190
WMC2373562	166
WMC2373563	85
WMC2373564	6
WMC2373566	206
WMC2373567	177
WMC2373568	161
WMC2373570	169
WMC2373571	89
WMC2373573	164
WMC2373574	169
WMC2373575	87
WMC2373578	207
WMC2373579	199
WMC2373580	89
WMC2373581	165
WMC2373582	204
WMC2373585	204
WMC2373587	188
WMC2373588	176
WMC2373589	135
WMC2373590	183
WMC2373591	195
WMC2373592	205
WMC2373594	215
WMC2373595	33
WMC2373596	175
WMC2373599	193
WMC2373604	216
WMC2373606	197
WMC2373607	194
WMC2373608	168
WMC2373609	161
WMC2373610	75
WMC2373612	74
WMC2373613	187
WMC2373615	193
WMC2373616	164
WMC2373618	199
WMC2373621	80
WMC2373624	211
WMC2373626	191
WMC2373627	71
WMC2373628	135
WMC2373630	182
WMC2373635	173
WMC2373638	78
WMC2373639	158
WMC2373642	206
WMC2373643	110
WMC2373644	125
WMC2373645	175
WMC2373646	163
WMC2373647	176
WMC2373648	167
WMC2373649	162
WMC2373650	129
WMC2373651	186
