	mc
WMC3415082	12
WMC3415085	47
WMC3415086	46
WMC3415087	4
WMC3415091	17
WMC3415092	7
WMC3415094	7
WMC3415095	24
WMC3415096	41
WMC3415098	17
WMC3415099	46
WMC3415100	17
WMC3415101	46
WMC3415102	49
WMC3415103	12
WMC3415107	16
WMC3415108	7
WMC3415109	33
WMC3415110	19
WMC3415111	16
WMC3415113	9
WMC3415115	17
WMC3415116	47
WMC3415118	48
WMC3415119	47
WMC3415120	16
WMC3415123	18
WMC3415124	13
WMC3415125	46
WMC3415126	11
WMC3415127	23
WMC3415128	8
WMC3415129	46
WMC3415130	10
WMC3415131	6
WMC3415132	18
WMC3415133	2
WMC3415134	6
WMC3415137	46
WMC3415138	50
WMC3415140	24
WMC3415141	20
WMC3415142	11
WMC3415143	39
WMC3415144	33
WMC3415147	45
WMC3415148	12
WMC3415149	19
WMC3415150	30
WMC3415151	2
WMC3415154	43
WMC3415155	3
WMC3415156	9
WMC3415157	10
WMC3415158	17
WMC3415159	31
WMC3415160	18
WMC3415161	50
WMC3415162	50
WMC3415163	27
WMC3415165	24
WMC3415167	12
WMC3415168	24
WMC3415188	24
WMC3415189	3
WMC3415190	19
WMC3415192	33
WMC3415196	18
WMC3415197	16
WMC3415198	30
WMC3415199	47
WMC3415205	48
WMC3415206	50
WMC3415207	4
WMC3415213	9
WMC3415216	48
WMC3415219	12
WMC3415221	22
WMC3415223	16
WMC3415228	10
WMC3415229	46
WMC3415231	14
WMC3415232	19
WMC3415234	22
WMC3415235	7
WMC3415238	22
WMC3415239	2
WMC3415240	17
WMC3415242	22
WMC3415243	3
WMC3415244	50
WMC3415245	16
WMC3415247	48
WMC3415248	47
WMC3415249	42
WMC3415252	30
WMC3415253	1
WMC3415255	17
WMC3415256	22
WMC3415278	16
WMC3415279	22
WMC3415284	12
WMC3415286	30
WMC3415287	18
WMC3415291	41
WMC3415293	46
WMC3415294	46
WMC3415295	41
WMC3415299	29
WMC3415300	30
WMC3415303	12
WMC3415309	3
WMC3415310	28
WMC3415311	22
WMC3415316	49
WMC3415319	48
WMC3415323	44
WMC3415324	4
WMC3415326	14
WMC3415327	2
WMC3415332	8
WMC3415333	12
WMC3415335	3
WMC3415339	46
WMC3415343	27
WMC3415344	19
WMC3415346	24
WMC3415351	17
WMC3415359	29
WMC3415360	48
WMC3415363	46
WMC3415364	39
WMC3415367	46
WMC3415369	45
WMC3415372	14
WMC3415373	19
WMC3415375	12
WMC3415379	24
WMC3415382	7
WMC3415384	13
WMC3415385	31
WMC3415387	13
WMC3415388	22
WMC3415389	46
WMC3415396	21
WMC3415397	18
WMC3415398	10
WMC3415399	17
WMC3415400	13
WMC3415404	47
WMC3415405	2
WMC3415407	22
WMC3415408	40
WMC3415410	35
WMC3415411	8
WMC3415412	35
WMC3415413	13
WMC3415415	10
WMC3415417	2
WMC3415419	48
WMC3415421	18
WMC3415422	46
WMC3415423	23
WMC3415425	12
WMC3415427	18
WMC3415429	12
WMC3415430	27
WMC3415432	22
WMC3415433	50
WMC3415434	46
WMC3415435	18
WMC3415439	13
WMC3415440	12
WMC3415442	21
WMC3415443	24
WMC3415444	12
WMC3415446	1
WMC3415447	47
WMC3415449	49
WMC3415450	14
WMC3415451	22
WMC3415455	19
WMC3415457	42
WMC3415458	44
WMC3415459	39
WMC3415463	34
WMC3415466	25
WMC3415467	37
WMC3415469	43
WMC3415471	17
WMC3415473	49
WMC3415474	50
WMC3415475	46
WMC3415476	36
WMC3415477	20
WMC3415478	29
WMC3415479	34
WMC3415481	42
WMC3415482	49
WMC3415483	40
WMC3415485	43
WMC3415486	36
WMC3415487	33
WMC3415488	36
WMC3415491	36
WMC3415492	38
WMC3415493	32
WMC3415494	19
WMC3415495	28
WMC3415497	42
WMC3415498	37
WMC3415499	31
WMC3415500	34
WMC3415501	38
WMC3415502	30
WMC3415503	24
WMC3415504	7
WMC3415507	41
WMC3415508	29
WMC3415509	37
WMC3415510	38
WMC3415511	33
WMC3415512	31
WMC3415513	25
WMC3415514	35
WMC3415515	42
WMC3415516	37
WMC3415517	35
WMC3415518	43
WMC3415519	4
WMC3415521	22
WMC3415523	48
WMC3415524	17
WMC3415525	40
WMC3415526	3
WMC3415528	50
WMC3415531	34
WMC3415532	28
WMC3415533	36
WMC3415534	1
WMC3415535	29
WMC3415540	32
WMC3415541	32
WMC3415542	26
WMC3415543	23
WMC3415544	51
WMC3415545	22
WMC3415546	30
WMC3415547	34
WMC3415548	20
WMC3415549	47
WMC3415551	32
WMC3415552	46
WMC3415554	48
WMC3415556	38
WMC3415565	31
WMC3415566	35
WMC3415572	43
WMC3415573	38
WMC3415575	35
WMC3415577	36
WMC3415579	35
WMC3415580	38
WMC3415581	17
WMC3415584	45
WMC3415586	39
WMC3415588	43
WMC3415589	7
WMC3415590	31
WMC3415591	41
WMC3415592	21
WMC3415595	46
WMC3415601	27
WMC3415602	14
WMC3415605	43
WMC3415607	29
WMC3415610	38
WMC3415611	18
WMC3415612	46
WMC3415614	34
WMC3415615	32
WMC3415616	47
WMC3415619	19
WMC3415620	25
WMC3415621	41
WMC3415622	18
WMC3415623	29
WMC3415624	38
WMC3415627	48
WMC3415628	20
WMC3415629	26
WMC3415630	12
WMC3415631	20
WMC3415632	47
WMC3415635	21
WMC3415636	18
WMC3415637	41
WMC3415639	41
WMC3415640	34
WMC3415643	34
WMC3415644	11
WMC3415646	31
WMC3415648	47
WMC3415652	32
WMC3415655	29
WMC3415657	18
WMC3415660	40
