	x
1	#1EC51E
2	cyan
3	cyan
4	cyan
5	cyan
6	#F98B00
7	#F98B00
8	#E675E4
9	#E675E4
10	#E675E4
11	peru
12	#E675E4
13	#E675E4
14	#E675E4
15	peru
16	#C811C5
17	peru
18	#E9257E
19	#E9257E
20	#E9257E
21	#E9257E
22	peru
23	#E9257E
24	#E9257E
25	peru
26	peru
27	peru
28	peru
29	peru
30	peru
31	peru
32	indianred3
33	chocolate4
34	peru
35	peru
36	peru
37	darkseagreen2
38	darkseagreen2
39	darkseagreen2
40	darkseagreen2
41	darkseagreen2
42	darkseagreen2
43	darkseagreen2
44	darkseagreen2
45	darkseagreen2
46	darkseagreen2
47	darkseagreen2
48	darkseagreen2
49	darkseagreen2
50	powderblue
51	darkseagreen2
52	darkseagreen2
53	darkseagreen2
54	darkseagreen2
55	darkseagreen2
56	powderblue
57	darkseagreen2
58	darkseagreen2
59	darkseagreen2
60	darkseagreen2
61	darkseagreen2
62	darkseagreen2
63	darkseagreen2
64	powderblue
65	powderblue
66	powderblue
67	darkseagreen2
68	powderblue
69	dodgerblue
70	powderblue
71	dodgerblue
72	powderblue
73	powderblue
74	white
75	powderblue
76	royalblue3
77	royalblue3
78	powderblue
79	powderblue
80	powderblue
81	powderblue
82	powderblue
83	powderblue
84	powderblue
85	powderblue
86	powderblue
87	powderblue
88	powderblue
89	powderblue
90	powderblue
91	powderblue
92	powderblue
93	powderblue
94	powderblue
95	powderblue
96	darkseagreen2
97	powderblue
98	royalblue3
99	seagreen4
100	royalblue3
101	royalblue3
102	royalblue3
103	royalblue3
104	royalblue3
105	royalblue3
106	royalblue3
107	powderblue
108	royalblue3
109	dodgerblue
110	royalblue3
111	dodgerblue
112	dodgerblue
113	dodgerblue
114	dodgerblue
115	royalblue3
116	dodgerblue
117	royalblue3
118	dodgerblue
119	dodgerblue
120	dodgerblue
121	dodgerblue
122	royalblue3
