	mc
WMC2373281	101
WMC2373283	100
WMC2373284	71
WMC2373286	106
WMC2373287	70
WMC2373290	109
WMC2373291	106
WMC2373292	105
WMC2373293	111
WMC2373294	82
WMC2373295	79
WMC2373298	74
WMC2373300	100
WMC2373301	103
WMC2373302	1
WMC2373303	119
WMC2373304	62
WMC2373305	119
WMC2373306	43
WMC2373307	56
WMC2373308	104
WMC2373309	101
WMC2373310	5
WMC2373311	114
WMC2373312	88
WMC2373315	103
WMC2373316	64
WMC2373317	98
WMC2373319	88
WMC2373320	100
WMC2373321	61
WMC2373322	98
WMC2373323	101
WMC2373324	89
WMC2373325	88
WMC2373327	105
WMC2373328	45
WMC2373329	98
WMC2373330	118
WMC2373331	76
WMC2373332	111
WMC2373333	104
WMC2373334	80
WMC2373335	71
WMC2373336	91
WMC2373337	101
WMC2373340	1
WMC2373341	104
WMC2373342	71
WMC2373343	119
WMC2373344	90
WMC2373345	113
WMC2373347	53
WMC2373348	65
WMC2373350	90
WMC2373351	96
WMC2373352	98
WMC2373354	119
WMC2373355	102
WMC2373356	106
WMC2373357	122
WMC2373358	79
WMC2373360	73
WMC2373362	81
WMC2373363	101
WMC2373364	118
WMC2373365	103
WMC2373366	103
WMC2373367	107
WMC2373369	115
WMC2373370	106
WMC2373371	5
WMC2373372	101
WMC2373373	116
WMC2373374	119
WMC2373375	88
WMC2373376	77
WMC2373378	76
WMC2373380	113
WMC2373382	68
WMC2373383	101
WMC2373385	103
WMC2373386	97
WMC2373387	65
WMC2373388	121
WMC2373389	57
WMC2373390	88
WMC2373391	114
WMC2373392	77
WMC2373393	101
WMC2373395	119
WMC2373396	66
WMC2373398	116
WMC2373399	74
WMC2373400	122
WMC2373401	79
WMC2373402	103
WMC2373403	65
WMC2373404	103
WMC2373405	84
WMC2373407	121
WMC2373409	93
WMC2373410	92
WMC2373411	60
WMC2373412	101
WMC2373413	68
WMC2373414	83
WMC2373415	114
WMC2373416	100
WMC2373418	64
WMC2373419	122
WMC2373420	76
WMC2373422	120
WMC2373423	110
WMC2373424	52
WMC2373425	105
WMC2373426	114
WMC2373429	71
WMC2373430	98
WMC2373431	120
WMC2373432	104
WMC2373434	38
WMC2373436	115
WMC2373437	72
WMC2373439	5
WMC2373441	74
WMC2373444	111
WMC2373445	97
WMC2373446	98
WMC2373447	100
WMC2373448	48
WMC2373450	41
WMC2373451	110
WMC2373452	77
WMC2373453	89
WMC2373454	69
WMC2373455	101
WMC2373456	78
WMC2373457	79
WMC2373458	86
WMC2373459	101
WMC2373460	66
WMC2373461	77
WMC2373462	94
WMC2373463	105
WMC2373464	78
WMC2373466	116
WMC2373467	1
WMC2373468	5
WMC2373470	121
