	mc
WMC2941217	16
WMC2941219	13
WMC2941220	12
WMC2941221	13
WMC2941222	13
WMC2941223	13
WMC2941224	17
WMC2941225	39
WMC2941226	16
WMC2941228	16
WMC2941229	12
WMC2941230	16
WMC2941232	13
WMC2941234	16
WMC2941236	16
WMC2941237	16
WMC2941239	13
WMC2941240	18
WMC2941241	13
WMC2941242	16
WMC2941245	18
WMC2941247	13
WMC2941248	12
WMC2941251	18
WMC2941253	14
WMC2941255	16
WMC2941256	15
WMC2941259	26
WMC2941260	17
WMC2941261	16
WMC2941263	16
WMC2941265	39
WMC2941267	17
WMC2941270	35
WMC2941271	13
WMC2941272	20
WMC2941273	15
WMC2941276	16
WMC2941278	18
WMC2941280	12
WMC2941281	29
WMC2941282	18
WMC2941283	13
WMC2941284	13
WMC2941285	17
WMC2941286	17
WMC2941287	20
WMC2941288	13
WMC2941290	13
WMC2941293	35
WMC2941294	12
WMC2941296	39
WMC2941298	16
WMC2941302	18
WMC2941304	32
WMC2941310	12
WMC2941313	19
WMC2941321	18
WMC2941322	17
WMC2941324	16
WMC2941325	13
WMC2941327	16
WMC2941328	17
WMC2941330	13
WMC2941335	15
WMC2941336	19
WMC2941339	13
WMC2941342	27
WMC2941345	15
WMC2941347	17
WMC2941349	13
WMC2941354	15
WMC2941356	15
WMC2941359	17
WMC2941360	17
WMC2941363	16
WMC2941367	36
WMC2941370	19
WMC2941373	12
WMC2941374	13
WMC2941379	13
WMC2941383	2
WMC2941386	15
WMC2941388	13
WMC2941392	15
WMC2941393	36
WMC2941394	16
WMC2941398	12
WMC2941399	13
WMC2941400	15
WMC2941410	13
WMC2941413	18
WMC2941418	13
WMC2941422	16
WMC2941424	12
WMC2941425	12
WMC2941426	20
WMC2941427	23
WMC2941429	19
WMC2941431	20
WMC2941435	16
WMC2941437	21
WMC2941439	17
WMC2941441	13
WMC2941443	16
WMC2941446	15
WMC2941448	24
WMC2941449	17
WMC2941450	39
WMC2941453	17
WMC2941457	15
WMC2941459	18
WMC2941460	17
WMC2941463	12
WMC2941468	15
WMC2941469	18
WMC2941470	14
WMC2941472	16
WMC2941479	18
WMC2941485	36
WMC2941489	16
WMC2941492	16
WMC2941498	15
WMC2941504	13
WMC2941511	16
WMC2941512	16
WMC2941513	13
WMC2941517	13
WMC2941521	12
WMC2941522	13
WMC2941526	31
WMC2941527	17
WMC2941528	15
WMC2941531	13
WMC2941533	12
WMC2941536	18
WMC2941537	17
WMC2941538	12
WMC2941540	22
WMC2941541	19
WMC2941544	18
WMC2941545	18
WMC2941546	18
WMC2941547	18
WMC2941552	13
WMC2941560	18
WMC2941563	18
WMC2941567	17
WMC2941568	13
WMC2941575	20
WMC2941576	18
WMC2941577	18
WMC2941580	13
WMC2941584	15
WMC2941585	12
WMC2941587	13
WMC2941588	13
WMC2941589	18
WMC2941590	17
WMC2941592	18
WMC2941593	20
WMC2941596	16
WMC2941597	16
WMC2941598	19
WMC2941599	16
WMC2941600	23
WMC2941604	17
WMC2941607	15
WMC2941608	13
WMC2941610	17
WMC2941613	18
WMC2941615	13
WMC2941616	18
WMC2941621	17
WMC2941622	17
WMC2941624	16
WMC2941625	13
WMC2941626	18
WMC2941627	12
WMC2941629	12
WMC2941630	28
WMC2941631	17
WMC2941632	35
WMC2941635	15
WMC2941636	17
WMC2941637	12
WMC2941639	18
WMC2941640	16
WMC2941641	17
WMC2941643	13
WMC2941644	18
WMC2941647	35
WMC2941648	13
WMC2941651	17
WMC2941652	18
WMC2941654	16
WMC2941656	13
WMC2941659	16
WMC2941663	18
WMC2941664	15
WMC2941665	18
WMC2941666	18
WMC2941668	18
WMC2941669	15
WMC2941671	23
WMC2941672	19
WMC2941676	18
WMC2941677	15
WMC2941681	17
WMC2941682	13
WMC2941684	17
WMC2941686	13
WMC2941688	12
WMC2941689	16
WMC2941691	13
WMC2941692	16
WMC2941693	18
WMC2941696	18
WMC2941697	26
WMC2941700	24
WMC2941703	18
WMC2941705	18
WMC2941707	17
WMC2941708	13
WMC2941709	17
WMC2941711	13
WMC2941713	18
WMC2941715	25
WMC2941716	12
WMC2941719	16
WMC2941725	22
WMC2941740	18
WMC2941746	12
WMC2941748	18
WMC2941750	17
WMC2941752	20
WMC2941764	12
WMC2941768	18
WMC2941769	13
WMC2941770	30
WMC2941774	13
WMC2941776	18
WMC2941777	15
WMC2941780	17
WMC2941790	13
WMC2941798	16
WMC2941800	18
WMC2941801	13
WMC2941807	23
WMC2941815	17
WMC2941822	18
WMC2941825	18
WMC2941828	16
WMC2941833	17
WMC2941834	13
WMC2941838	12
WMC2941844	18
WMC2941845	18
WMC2941846	15
WMC2941847	21
WMC2941848	29
WMC2941852	15
WMC2941857	18
WMC2941860	18
WMC2941863	17
WMC2941865	13
WMC2941867	27
WMC2941868	12
WMC2941873	18
WMC2941880	15
WMC2941882	17
WMC2941883	13
WMC2941884	17
WMC2941885	19
WMC2941893	12
WMC2941894	13
WMC2941895	29
WMC2941896	15
WMC2941899	18
WMC2941900	13
WMC2941903	16
WMC2941904	37
WMC2941907	18
WMC2941911	18
WMC2941913	20
WMC2941915	16
WMC2941916	23
WMC2941918	12
WMC2941919	19
WMC2941927	28
WMC2941930	16
WMC2941935	19
WMC2941939	18
WMC2941940	13
WMC2941941	15
WMC2941957	17
WMC2941961	12
WMC2941964	18
WMC2941966	12
WMC2941968	17
WMC2941972	18
WMC2941976	17
WMC2941979	39
WMC2941982	16
WMC2941983	13
WMC2941991	16
WMC2941993	39
WMC2942000	13
WMC2942002	12
WMC2942005	18
WMC2942006	13
WMC2942007	18
WMC2942009	36
WMC2942010	16
WMC2942015	17
WMC2942016	16
WMC2942019	25
WMC2942023	18
WMC2942024	16
WMC2942028	18
WMC2942031	13
WMC2942038	12
WMC2942044	18
WMC2942051	18
WMC2942054	18
WMC2942056	12
WMC2942061	16
WMC2942062	16
WMC2942064	13
WMC2942066	15
WMC2942071	2
WMC2942078	18
WMC2942079	16
WMC2942089	16
WMC2942096	18
WMC2942111	13
WMC2942134	12
WMC2942140	16
WMC2942143	16
WMC2942151	13
WMC2942152	15
WMC2942156	17
WMC2942159	15
WMC2942161	13
WMC2942167	18
WMC2942173	18
WMC2942192	13
WMC2942208	39
WMC2942209	18
WMC2942232	16
WMC2942270	15
WMC2942280	15
WMC2942293	12
WMC2942295	12
WMC2942300	16
WMC2942309	17
WMC2942310	18
WMC2942312	12
WMC2942335	18
WMC2942337	18
WMC2942342	26
WMC2942343	37
WMC2942363	15
WMC2942367	17
WMC2942369	26
WMC2942372	17
WMC2942374	13
WMC2942376	21
WMC2942381	18
WMC2942384	13
WMC2942386	20
WMC2942391	17
WMC2942392	16
WMC2942397	18
WMC2942398	16
WMC2942405	15
WMC2942412	18
WMC2942415	16
WMC2942417	18
WMC2942420	18
WMC2942422	17
WMC2942423	16
WMC2942424	18
WMC2942431	18
WMC2942432	34
WMC2942434	15
WMC2942435	12
WMC2942436	35
WMC2942437	13
WMC2942440	20
WMC2942446	12
WMC2942451	20
WMC2942452	18
WMC2942455	17
WMC2942456	16
WMC2942458	19
WMC2942461	17
WMC2942462	34
WMC2942466	12
WMC2942471	20
WMC2942473	16
WMC2942474	19
WMC2942486	1
WMC2942500	39
WMC2942504	39
WMC2942510	39
WMC2942511	17
WMC2942519	31
WMC2942530	17
WMC2942535	31
WMC2942536	37
WMC2942542	13
WMC2942560	39
WMC2942577	18
WMC2942582	18
WMC2942583	3
WMC2942592	16
WMC2942597	15
WMC2942606	13
WMC2942614	39
WMC2942615	18
WMC2942622	16
WMC2942629	16
WMC2942637	16
WMC2942652	17
WMC2942658	20
WMC2942669	17
WMC2942673	22
WMC2942675	11
WMC2942681	7
WMC2942683	16
WMC2942686	17
WMC2942690	16
WMC2942692	16
WMC2942693	18
WMC2942694	18
WMC2942696	18
WMC2942698	12
WMC2942701	19
WMC2942703	27
WMC2942719	16
WMC2942721	12
WMC2942728	12
WMC2942729	17
WMC2942733	18
WMC2942734	12
WMC2942737	18
WMC2942739	17
WMC2942741	23
WMC2942743	32
