Gene name	Human gene name
mt-Nd1	MT-ND1
mt-Nd2	MT-ND2
mt-Co1	MT-CO1
mt-Co2	MT-CO2
mt-Atp8	MT-ATP8
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
mt-Nd3	MT-ND3
mt-Nd4l	MT-ND4L
mt-Nd4	MT-ND4
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
mt-Cytb	MT-CYB
Hyal4	HYAL4
Prps1l1	PRPS1L1
Vmn1r72	VN1R1
Cyp7b1	CYP7B1
Wnt16	WNT16
Npas1	NPAS1
Zfy1	ZFY
Cldn11	CLDN11
Hdac2	HDAC2
Dnase1l2	DNASE1L2
Cdc42ep5	CDC42EP5
Fam110c	FAM110C
Ntsr2	NTSR2
Tpp2	TPP2
Eloc	ELOC
Ppp1r42	PPP1R42
Chadl	CHADL
Spam1	SPAM1
Vmn1r73	VN1R1
Bcl11a	BCL11A
Cep68	CEP68
L3mbtl2	L3MBTL2
3110035E14Rik	C8orf46
Adhfe1	ADHFE1
Tcf24	TCF24
Impdh1	IMPDH1
Paqr8	PAQR8
Fam49a	FAM49A
Ppp1r14c	PPP1R14C
Rnf215	RNF215
Pcdh18	PCDH18
Arhgap35	ARHGAP35
Hist1h4k	HIST1H4B
Ighv8-6	IGHV2-5
Ighv8-6	IGHV2-70
Ighv8-6	AC245369.1
Ighv8-6	IGHV2OR16-5
Ighv8-6	IGHV2-26
Gemin6	GEMIN6
Iyd	IYD
Zswim7	ZSWIM7
Gm8300	EIF1AY
Ppp2cb	PPP2CB
Sertad1	SERTAD1
Ddx25	DDX25
Trav12d-3	TRAV18
Olfr834	OR7G3
Ascl1	ASCL1
G6pd2	G6PD
Dpy19l2	DPY19L2
Cd48	CD48
Lcn2	LCN2
Prdm4	PRDM4
4930433I11Rik	C2orf78
Olfr478	OR5P2
Pigo	PIGO
Swap70	SWAP70
Pdcd5	PDCD5
Pycr1	PYCR1
Ubxn8	UBXN8
Trim34b	TRIM34
Fam19a1	FAM19A1
Gp1ba	GP1BA
Ccdc157	CCDC157
Trav13d-2	TRAV22
Dok6	DOK6
Spink5	SPINK5
Vps4a	AC026464.4
Vps4a	VPS4A
Ppm1k	PPM1K
Itga10	ITGA10
Map7d1	MAP7D1
Hecw2	HECW2
Tnni1	TNNI1
Mgat4b	MGAT4B
Myo1d	MYO1D
Hyal5	SPAM1
Ints12	INTS12
Rplp2	RPLP2
AL773585.4	OR5G3
Eml2	EML2
1700123L14Rik	NUP50
Mblac2	MBLAC2
Map3k14	MAP3K14
Kcnj11	KCNJ11
Vars2	VARS2
Smim20	SMIM20
Tbc1d9	TBC1D9
Herc6	HERC6
Tigd5	TIGD5
Hrc	HRC
Ppib	PPIB
Gstcd	GSTCD
Dmkn	DMKN
Tmem229a	TMEM229A
Tmem60	TMEM60
Tfeb	TFEB
Ptprn2	PTPRN2
Fam3c	FAM3C
Gramd1b	GRAMD1B
Morc2a	MORC2
Tas2r125	TAS2R14
Pdf	PDF
Cdcp2	CDCP2
Zfp707	ZNF707
Snx22	SNX22
Efhc1	EFHC1
Gadd45g	GADD45G
Ube2u	UBE2U
Cog8	COG8
Cog8	AC026464.3
Wdr81	WDR81
Pex11b	PEX11B
Poldip2	POLDIP2
Stard3	STARD3
Majin	MAJIN
Dmp1	DMP1
Chd7	CHD7
Fam193a	FAM193A
Nup88	NUP88
CT571245.2	SPTSSA
Dhrs7	DHRS7
Ypel3	YPEL3
Slc7a14	SLC7A14
Ccdc60	CCDC60
Spen	SPEN
Arhgef33	ARHGEF33
Rnf167	RNF167
Kdm5d	KDM5D
Rmdn1	RMDN1
Nr0b2	NR0B2
Prokr2	PROKR2
Tas2r129	TAS2R14
Pax6	PAX6
Prx	PRX
Gpr37	GPR37
Tas2r131	TAS2R42
Tas2r109	TAS2R14
Slc1a4	SLC1A4
Otud4	OTUD4
Gm42957	PEX11B
Tmprss15	TMPRSS15
Tas2r103	TAS2R14
Wwp1	WWP1
Gsk3b	GSK3B
Fcrl1	FCRL1
Phf14	PHF14
Hist1h2ak	HIST1H3D
Hist1h2ak	HIST1H2AD
Spic	SPIC
Clec4n	CLEC6A
Bsg	BSG
Crlf2	CRLF2
Setd4	SETD4
Ccdc97	CCDC97
Zfp637	ZNF32
Ambra1	AMBRA1
Mmp24	MMP24
Kank4	KANK4
Tram2	TRAM2
Crisp1	CRISP2
Crisp1	CRISP3
Olfr231	OR6K6
Ifna7	IFNA14
Ifna7	IFNA5
Ifna7	IFNA4
Ifna7	IFNA16
Ifna7	IFNA2
Ifna7	IFNA13
Ifna7	IFNA10
Ifna7	IFNA17
Ifna7	IFNA6
Ifna7	IFNA7
Ifna7	IFNA21
Ifna7	IFNA8
Ifna7	IFNA1
Arf6	ARF6
Zbtb17	ZBTB17
Pkp4	PKP4
Slc25a11	SLC25A11
Olfr835	OR7G2
Mrpl32	MRPL32
BC029722	MMP24-AS1
Entpd4b	ENTPD4
Celf6	AC009690.3
Celf6	CELF6
Trdmt1	TRDMT1
F13b	F13B
Olfr424	OR6K3
Miox	MIOX
Olfr1261	OR4C45
Ighv1-54	IGHV1OR15-9
Ighv1-54	IGHV1-24
Ighv1-54	IGHV1-18
Ighv1-54	IGHV1OR21-1
Ighv1-54	AC135068.8
Ighv1-54	IGHV1-3
Ighv1-54	IGHV1-69
Ighv1-54	IGHV1-2
Ighv1-54	IGHV1-58
Ighv1-54	AC245369.4
Ighv1-54	AC136616.3
Ighv1-54	IGHV1-45
Ighv1-54	IGHV1-46
Ighv1-54	AC245369.3
Ighv1-54	IGHV1OR15-1
Cetn3	CETN3
Srcin1	SRCIN1
Fam71b	FAM71B
Hk2	HK2
Ptbp3	PTBP3
Kctd6	KCTD6
Ibsp	IBSP
Ngrn	NGRN
Acmsd	ACMSD
Aldh1a2	ALDH1A2
Lias	LIAS
Exosc10	EXOSC10
Adgrg3	ADGRG3
Srp54a	SRP54
Cnot2	CNOT2
Map3k5	MAP3K5
Cyp4v3	CYP4V2
Mkln1	MKLN1
Ifna11	IFNA14
Ifna11	IFNA5
Ifna11	IFNA4
Ifna11	IFNA16
Ifna11	IFNA2
Ifna11	IFNA13
Ifna11	IFNA10
Ifna11	IFNA17
Ifna11	IFNA6
Ifna11	IFNA7
Ifna11	IFNA21
Ifna11	IFNA8
Ifna11	IFNA1
Vps33b	VPS33B
Zfp775	AC073111.3
Zfp775	ZNF775
Ifna6	IFNA14
